0,1,2,3
"[('V1', 'V10', {'weight': 1}), ('V11', 'V1', {'weight': 1}), ('V11', 'V10', {'weight': 1}), ('V10', 'V1', {'weight': 1})]",120D,"{'V10', 'V1', 'V11'}",1.0
"[('V17', 'V20', {'weight': -1}), ('V1', 'V17', {'weight': 1}), ('V1', 'V20', {'weight': -1})]",030T,"{'V17', 'V1', 'V20'}",1.0
"[('V1', 'V20', {'weight': -1}), ('V6', 'V1', {'weight': 1}), ('V6', 'V20', {'weight': -1})]",030T,"{'V1', 'V20', 'V6'}",1.0
"[('V2', 'V1', {'weight': 1}), ('V2', 'V20', {'weight': -1}), ('V1', 'V20', {'weight': -1})]",030T,"{'V2', 'V1', 'V20'}",1.0
"[('V11', 'V1', {'weight': 1}), ('V11', 'V6', {'weight': 1}), ('V6', 'V1', {'weight': 1})]",030T,"{'V1', 'V6', 'V11'}",1.0
"[('V2', 'V1', {'weight': 1}), ('V2', 'V6', {'weight': 1}), ('V6', 'V1', {'weight': 1})]",030T,"{'V2', 'V1', 'V6'}",1.0
"[('V14', 'V19', {'weight': -1}), ('V10', 'V14', {'weight': -1}), ('V10', 'V19', {'weight': -1})]",030T,"{'V14', 'V10', 'V19'}",0.0
"[('V12', 'V14', {'weight': 1}), ('V10', 'V12', {'weight': -1}), ('V10', 'V14', {'weight': -1})]",030T,"{'V14', 'V12', 'V10'}",1.0
"[('V10', 'V12', {'weight': -1}), ('V10', 'V6', {'weight': 1}), ('V6', 'V10', {'weight': 1}), ('V6', 'V12', {'weight': -1})]",120U,"{'V12', 'V6', 'V10'}",1.0
"[('V11', 'V10', {'weight': 1}), ('V11', 'V6', {'weight': 1}), ('V6', 'V10', {'weight': 1}), ('V10', 'V6', {'weight': 1})]",120D,"{'V10', 'V6', 'V11'}",1.0
"[('V17', 'V20', {'weight': -1}), ('V16', 'V17', {'weight': 1}), ('V16', 'V20', {'weight': -1})]",030T,"{'V17', 'V16', 'V20'}",1.0
"[('V17', 'V20', {'weight': -1}), ('V17', 'V5', {'weight': 1}), ('V5', 'V17', {'weight': 1}), ('V5', 'V20', {'weight': -1})]",120U,"{'V17', 'V20', 'V5'}",1.0
"[('V17', 'V13', {'weight': 1}), ('V4', 'V13', {'weight': 1}), ('V4', 'V17', {'weight': 1}), ('V13', 'V17', {'weight': 1})]",120D,"{'V17', 'V4', 'V13'}",1.0
"[('V17', 'V3', {'weight': -1}), ('V4', 'V17', {'weight': 1}), ('V4', 'V3', {'weight': -1})]",030T,"{'V17', 'V4', 'V3'}",1.0
"[('V17', 'V5', {'weight': 1}), ('V4', 'V17', {'weight': 1}), ('V4', 'V5', {'weight': 1}), ('V5', 'V17', {'weight': 1})]",120D,"{'V17', 'V4', 'V5'}",1.0
"[('V4', 'V17', {'weight': 1}), ('V8', 'V17', {'weight': -1}), ('V8', 'V4', {'weight': -1})]",030T,"{'V17', 'V4', 'V8'}",1.0
"[('V17', 'V13', {'weight': 1}), ('V17', 'V3', {'weight': -1}), ('V13', 'V17', {'weight': 1}), ('V13', 'V3', {'weight': -1})]",120U,"{'V17', 'V13', 'V3'}",1.0
"[('V17', 'V13', {'weight': 1}), ('V16', 'V13', {'weight': 1}), ('V16', 'V17', {'weight': 1}), ('V13', 'V17', {'weight': 1})]",120D,"{'V17', 'V16', 'V13'}",1.0
"[('V21', 'V17', {'weight': -1}), ('V21', 'V7', {'weight': 1}), ('V7', 'V17', {'weight': -1}), ('V7', 'V21', {'weight': 1})]",120U,"{'V17', 'V21', 'V7'}",1.0
"[('V21', 'V17', {'weight': -1}), ('V21', 'V8', {'weight': 1}), ('V8', 'V17', {'weight': -1}), ('V8', 'V21', {'weight': 1})]",120U,"{'V17', 'V21', 'V8'}",1.0
"[('V7', 'V17', {'weight': -1}), ('V7', 'V8', {'weight': 1}), ('V8', 'V17', {'weight': -1}), ('V8', 'V7', {'weight': 1})]",120U,"{'V17', 'V7', 'V8'}",1.0
"[('V14', 'V19', {'weight': -1}), ('V14', 'V20', {'weight': 1}), ('V20', 'V19', {'weight': -1}), ('V19', 'V20', {'weight': -1})]",120D,"{'V14', 'V20', 'V19'}",1.0
"[('V5', 'V19', {'weight': -1}), ('V5', 'V20', {'weight': -1}), ('V20', 'V19', {'weight': -1}), ('V19', 'V20', {'weight': -1})]",120D,"{'V5', 'V20', 'V19'}",0.0
"[('V14', 'V19', {'weight': -1}), ('V14', 'V3', {'weight': -1}), ('V3', 'V19', {'weight': 1})]",030T,"{'V14', 'V3', 'V19'}",1.0
"[('V14', 'V19', {'weight': -1}), ('V14', 'V5', {'weight': 1}), ('V5', 'V19', {'weight': -1})]",030T,"{'V14', 'V19', 'V5'}",1.0
"[('V5', 'V13', {'weight': 1}), ('V5', 'V19', {'weight': -1}), ('V19', 'V13', {'weight': 1})]",030T,"{'V5', 'V13', 'V19'}",0.0
"[('V20', 'V12', {'weight': 1}), ('V12', 'V20', {'weight': 1}), ('V6', 'V12', {'weight': -1}), ('V6', 'V20', {'weight': -1})]",120D,"{'V20', 'V12', 'V6'}",1.0
"[('V20', 'V11', {'weight': 1}), ('V20', 'V12', {'weight': 1}), ('V12', 'V11', {'weight': 1}), ('V12', 'V20', {'weight': 1})]",120U,"{'V20', 'V12', 'V11'}",1.0
"[('V20', 'V12', {'weight': 1}), ('V20', 'V15', {'weight': -1}), ('V12', 'V15', {'weight': -1}), ('V12', 'V20', {'weight': 1})]",120U,"{'V15', 'V20', 'V12'}",1.0
"[('V16', 'V12', {'weight': -1}), ('V16', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1}), ('V12', 'V20', {'weight': 1})]",120D,"{'V16', 'V20', 'V12'}",1.0
"[('V5', 'V12', {'weight': -1}), ('V5', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1}), ('V12', 'V20', {'weight': 1})]",120D,"{'V5', 'V20', 'V12'}",1.0
"[('V9', 'V12', {'weight': -1}), ('V9', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1}), ('V12', 'V20', {'weight': 1})]",120D,"{'V9', 'V20', 'V12'}",1.0
"[('V14', 'V16', {'weight': 1}), ('V14', 'V20', {'weight': 1}), ('V16', 'V20', {'weight': -1})]",030T,"{'V14', 'V16', 'V20'}",0.0
"[('V14', 'V20', {'weight': 1}), ('V14', 'V5', {'weight': 1}), ('V5', 'V20', {'weight': -1})]",030T,"{'V14', 'V20', 'V5'}",0.0
"[('V2', 'V20', {'weight': -1}), ('V2', 'V6', {'weight': 1}), ('V6', 'V20', {'weight': -1})]",030T,"{'V2', 'V20', 'V6'}",1.0
"[('V9', 'V20', {'weight': -1}), ('V9', 'V6', {'weight': 1}), ('V6', 'V20', {'weight': -1})]",030T,"{'V9', 'V20', 'V6'}",1.0
"[('V20', 'V11', {'weight': 1}), ('V20', 'V15', {'weight': -1}), ('V11', 'V15', {'weight': -1})]",030T,"{'V15', 'V20', 'V11'}",1.0
"[('V20', 'V15', {'weight': -1}), ('V2', 'V15', {'weight': -1}), ('V2', 'V20', {'weight': -1})]",030T,"{'V2', 'V15', 'V20'}",0.0
"[('V5', 'V16', {'weight': 1}), ('V5', 'V20', {'weight': -1}), ('V16', 'V20', {'weight': -1}), ('V16', 'V5', {'weight': 1})]",120U,"{'V5', 'V16', 'V20'}",1.0
"[('V12', 'V4', {'weight': -1}), ('V6', 'V12', {'weight': -1}), ('V6', 'V4', {'weight': -1})]",030T,"{'V4', 'V12', 'V6'}",0.0
"[('V9', 'V12', {'weight': -1}), ('V9', 'V6', {'weight': 1}), ('V6', 'V12', {'weight': -1})]",030T,"{'V9', 'V12', 'V6'}",1.0
"[('V12', 'V11', {'weight': 1}), ('V12', 'V15', {'weight': -1}), ('V11', 'V15', {'weight': -1})]",030T,"{'V15', 'V12', 'V11'}",1.0
"[('V15', 'V4', {'weight': -1}), ('V12', 'V15', {'weight': -1}), ('V12', 'V4', {'weight': -1})]",030T,"{'V15', 'V4', 'V12'}",0.0
"[('V12', 'V15', {'weight': -1}), ('V3', 'V12', {'weight': -1}), ('V3', 'V15', {'weight': -1})]",030T,"{'V15', 'V12', 'V3'}",0.0
"[('V5', 'V12', {'weight': -1}), ('V5', 'V16', {'weight': 1}), ('V16', 'V12', {'weight': -1}), ('V16', 'V5', {'weight': 1})]",120U,"{'V5', 'V16', 'V12'}",1.0
"[('V14', 'V16', {'weight': 1}), ('V14', 'V5', {'weight': 1}), ('V16', 'V5', {'weight': 1}), ('V5', 'V16', {'weight': 1})]",120D,"{'V14', 'V16', 'V5'}",1.0
"[('V15', 'V4', {'weight': -1}), ('V15', 'V8', {'weight': 1}), ('V8', 'V15', {'weight': 1}), ('V8', 'V4', {'weight': -1})]",120U,"{'V15', 'V4', 'V8'}",1.0
"[('V15', 'V4', {'weight': -1}), ('V18', 'V15', {'weight': -1}), ('V18', 'V4', {'weight': -1})]",030T,"{'V15', 'V4', 'V18'}",0.0
"[('V18', 'V15', {'weight': -1}), ('V18', 'V3', {'weight': 1}), ('V3', 'V15', {'weight': -1}), ('V3', 'V18', {'weight': 1})]",120U,"{'V15', 'V18', 'V3'}",1.0
"[('V15', 'V21', {'weight': 1}), ('V15', 'V7', {'weight': 1}), ('V7', 'V15', {'weight': 1}), ('V7', 'V21', {'weight': 1}), ('V21', 'V15', {'weight': 1}), ('V21', 'V7', {'weight': 1})]",300,"{'V15', 'V7', 'V21'}",1.0
"[('V15', 'V21', {'weight': 1}), ('V15', 'V8', {'weight': 1}), ('V8', 'V15', {'weight': 1}), ('V8', 'V21', {'weight': 1}), ('V21', 'V15', {'weight': 1}), ('V21', 'V8', {'weight': 1})]",300,"{'V21', 'V15', 'V8'}",1.0
"[('V15', 'V21', {'weight': 1}), ('V18', 'V15', {'weight': -1}), ('V18', 'V21', {'weight': 1}), ('V21', 'V15', {'weight': 1})]",120D,"{'V21', 'V15', 'V18'}",0.0
"[('V15', 'V7', {'weight': 1}), ('V15', 'V8', {'weight': 1}), ('V7', 'V15', {'weight': 1}), ('V7', 'V8', {'weight': 1}), ('V8', 'V15', {'weight': 1}), ('V8', 'V7', {'weight': 1})]",300,"{'V15', 'V7', 'V8'}",1.0
"[('V4', 'V13', {'weight': 1}), ('V4', 'V3', {'weight': -1}), ('V13', 'V3', {'weight': -1})]",030T,"{'V4', 'V13', 'V3'}",1.0
"[('V5', 'V13', {'weight': 1}), ('V4', 'V13', {'weight': 1}), ('V4', 'V5', {'weight': 1})]",030T,"{'V5', 'V4', 'V13'}",1.0
"[('V5', 'V13', {'weight': 1}), ('V5', 'V16', {'weight': 1}), ('V16', 'V13', {'weight': 1}), ('V16', 'V5', {'weight': 1})]",120U,"{'V5', 'V16', 'V13'}",1.0
"[('V21', 'V7', {'weight': 1}), ('V21', 'V8', {'weight': 1}), ('V7', 'V21', {'weight': 1}), ('V7', 'V8', {'weight': 1}), ('V8', 'V21', {'weight': 1}), ('V8', 'V7', {'weight': 1})]",300,"{'V21', 'V7', 'V8'}",1.0
